Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Haiti,Artibonite,Marmelade,HTI,HT0551,HT05,January,2018,0,0
Haiti,Centre,Cerca La Source,HTI,HT0641,HT06,January,2018,0,0
Haiti,Artibonite,Dessalines,HTI,HT0542,HT05,January,2018,0,0
Haiti,Sud-Est,Jacmel,HTI,HT0212,HT02,January,2018,0,0
Haiti,Nord-Est,Fort Liberte,HTI,HT0411,HT04,January,2018,0,0
Haiti,Nippes,Anse-a-Veau,HTI,HT1021,HT10,January,2018,0,0
Haiti,Sud,Port Salut,HTI,HT0721,HT07,January,2018,0,0
Haiti,Ouest,Archaie,HTI,HT0142,HT01,January,2018,0,0
Haiti,Ouest,Port-au-Prince,HTI,HT0111,HT01,January,2018,1,0
Haiti,Sud-Est,Bainet,HTI,HT0221,HT02,January,2018,0,0
Haiti,Nord-Est,Ouanaminthe,HTI,HT0421,HT04,January,2018,0,0
Haiti,Nord-Est,Trou Du Nord,HTI,HT0431,HT04,January,2018,0,0
Haiti,Artibonite,Gros Morne,HTI,HT0521,HT05,January,2018,0,0
Haiti,Centre,Hinche,HTI,HT0611,HT06,January,2018,0,0
Haiti,Nord,Acul Du Nord,HTI,HT0321,HT03,January,2018,0,0
Haiti,Sud,Coteaux,HTI,HT0743,HT07,January,2018,0,0
Haiti,Sud,Cayes,HTI,HT0711,HT07,January,2018,0,0
Haiti,Nord-Ouest,Port De Paix,HTI,HT0911,HT09,January,2018,0,0
Haiti,Centre,Lascahobas,HTI,HT0631,HT06,January,2018,0,0
Haiti,Sud,Chardonnieres,HTI,HT0751,HT07,January,2018,0,0
Haiti,Ouest,Leogane,HTI,HT0121,HT01,January,2018,0,0
Haiti,Sud-Est,Belle Anse,HTI,HT0231,HT02,January,2018,0,0
Haiti,Nord-Ouest,Mole Saint Nicolas,HTI,HT0931,HT09,January,2018,0,0
Haiti,Nord,Cap Haitien,HTI,HT0311,HT03,January,2018,0,0
Haiti,Nord,Limbe,HTI,HT0361,HT03,January,2018,0,0
Haiti,Centre,Mirebalais,HTI,HT0621,HT06,January,2018,0,0
Haiti,Nord-Ouest,Saint Louis Du Nord,HTI,HT0921,HT09,January,2018,0,0
Haiti,Artibonite,Saint Marc,HTI,HT0531,HT05,January,2018,0,0
Haiti,Artibonite,Gonaives,HTI,HT0512,HT05,January,2018,1,0
Haiti,Nord,Plaisance,HTI,HT0371,HT03,January,2018,0,0
Haiti,Ouest,Croix Des Bouquets,HTI,HT0131,HT01,January,2018,0,0
Haiti,Nippes,Baraderes,HTI,HT1031,HT10,January,2018,0,0
Haiti,Grande-Anse,Jeremie,HTI,HT0811,HT08,January,2018,0,0
Haiti,Nord-Est,Vallieres,HTI,HT0441,HT04,January,2018,0,0
Haiti,Nippes,Miragoane,HTI,HT1011,HT10,January,2018,0,0
Haiti,Ouest,La Gonave,HTI,HT0151,HT01,January,2018,0,0
Haiti,Nord,Saint Raphael,HTI,HT0341,HT03,January,2018,0,0
Haiti,Sud,Aquin,HTI,HT0731,HT07,January,2018,0,0
Haiti,Grande-Anse,Corail,HTI,HT0834,HT08,January,2018,0,0
Haiti,Grande-Anse,Anse-d'Hainault,HTI,HT0821,HT08,January,2018,0,0
Haiti,Nord,Grande Riviere Du Nord,HTI,HT0331,HT03,January,2018,0,0
Haiti,Nord,Borgne,HTI,HT0351,HT03,January,2018,0,0
Haiti,Artibonite,Marmelade,HTI,HT0551,HT05,February,2018,0,0
Haiti,Centre,Cerca La Source,HTI,HT0641,HT06,February,2018,0,0
Haiti,Artibonite,Dessalines,HTI,HT0542,HT05,February,2018,0,0
Haiti,Sud-Est,Jacmel,HTI,HT0212,HT02,February,2018,0,0
Haiti,Nord-Est,Fort Liberte,HTI,HT0411,HT04,February,2018,1,0
Haiti,Nippes,Anse-a-Veau,HTI,HT1021,HT10,February,2018,0,0
Haiti,Sud,Port Salut,HTI,HT0721,HT07,February,2018,0,0
Haiti,Ouest,Archaie,HTI,HT0142,HT01,February,2018,0,0
Haiti,Ouest,Port-au-Prince,HTI,HT0111,HT01,February,2018,3,2
Haiti,Sud-Est,Bainet,HTI,HT0221,HT02,February,2018,0,0
